make,model,price_value,price_currency,year,engine,mileage_km,city,url
BENDA,Napoleonbob 250,8990.0,AZN,2025,0.3 L,0,Bakı,https://turbo.az/autos/9886515-benda-napoleonbob-250
Hyundai,Elantra,20800.0,AZN,2014,1.8 L,166000,Bakı,https://turbo.az/autos/10636277-hyundai-elantra
Hyundai,Sonata,25500.0,AZN,2017,2.4 L,186000,Bakı,https://turbo.az/autos/10604298-hyundai-sonata
LADA,(VAZ) 2106,2200.0,AZN,1988,1.3 L,99000,Balakən,https://turbo.az/autos/10636276-lada-vaz-2106
Kia,Rio,11800.0,AZN,2007,1.5 L,225065,Bakı,https://turbo.az/autos/10636284-kia-rio
Volkswagen,Passat,6700.0,AZN,2004,1.8 L,360000,Bakı,https://turbo.az/autos/10636274-volkswagen-passat
Changan,Uni-Z,37500.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10582866-changan-uni-z
Changan,Qiyuan Q07,44000.0,AZN,2025,1.5 L,17800,Bakı,https://turbo.az/autos/10636278-changan-qiyuan-q07
BMW,530,6000.0,AZN,1992,3.0 L,400000,Bakı,https://turbo.az/autos/10604175-bmw-530
Hyundai,Grandeur,75500.0,AZN,2024,1.6 L,47000,Bakı,https://turbo.az/autos/10585574-hyundai-grandeur
Changan,Qiyuan Q07,47900.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/9753810-changan-qiyuan-q07
Chrysler,200,8400.0,AZN,2012,2.4 L,252000,Sumqayıt,https://turbo.az/autos/10159367-chrysler-200
BMW,320d,26500.0,AZN,2016,2.0 L,240000,İmişli,https://turbo.az/autos/10636273-bmw-320d
BMW,750,110500.0,AZN,2021,4.4 L,67000,Bakı,https://turbo.az/autos/10320815-bmw-750
Changan,Alsvin,17900.0,AZN,2024,1.5 L,4130,Bakı,https://turbo.az/autos/10621329-changan-alsvin
Hyundai,Elantra,23800.0,AZN,2014,1.8 L,127000,Şəki,https://turbo.az/autos/10603984-hyundai-elantra
Honda,Accord,16000.0,AZN,2013,2.4 L,328000,Gəncə,https://turbo.az/autos/10636270-honda-accord
ZEEKR,001,48450.0,AZN,2022,,17000,Bakı,https://turbo.az/autos/10636248-zeekr-001
Land,Rover Range Rover,334900.0,AZN,2022,4.4 L,25000,Bakı,https://turbo.az/autos/10138345-land-rover-range-rover
Ford,Transit,28800.0,AZN,2008,2.4 L,185000,Bakı,https://turbo.az/autos/9853360-ford-transit
ZEEKR,007,64000.0,AZN,2024,,0,Bakı,https://turbo.az/autos/8799669-zeekr-007
JAECOO,J8,59900.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10396718-jaecoo-j8
Geely,Galaxy M9,57341.0,AZN,2026,1.5 L,0,Sifarişlə,https://turbo.az/autos/10401460-geely-galaxy-m9
Audi,Q5 Sportback,138857.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/10619580-audi-q5-sportback
Kia,Sorento,35400.0,AZN,2015,2.0 L,209000,Bakı,https://turbo.az/autos/9763041-kia-sorento
Toyota,HiAce,10500.0,AZN,2008,2.7 L,217500,Bakı,https://turbo.az/autos/10039171-toyota-hiace
Honda,Accord,41700.0,AZN,2024,2.0 L,49500,Bakı,https://turbo.az/autos/10481463-honda-accord
LADA,(VAZ) 2114,9400.0,AZN,2012,1.6 L,197628,Gədəbəy,https://turbo.az/autos/10581045-lada-vaz-2114
Opel,Astra,14300.0,AZN,2014,1.4 L,258000,Bakı,https://turbo.az/autos/10585727-opel-astra
Ford,Transit,24500.0,AZN,2009,2.4 L,236000,Bakı,https://turbo.az/autos/10604997-ford-transit
Mercedes,Vito,18500.0,AZN,2010,2.1 L,375000,Bakı,https://turbo.az/autos/10606809-mercedes-vito
Chevrolet,Cruze,12400.0,AZN,2014,1.4 L,270000,Bakı,https://turbo.az/autos/10634044-chevrolet-cruze
LADA,(VAZ) 21011,2900.0,AZN,1979,1.3 L,30000,Bakı,https://turbo.az/autos/10636269-lada-vaz-21011
Mercedes,C 240 4MATIC,10000.0,AZN,2003,2.6 L,228000,Bakı,https://turbo.az/autos/10619511-mercedes-c-240-4matic
Toyota,Prius,12800.0,AZN,2008,1.5 L,266000,Bakı,https://turbo.az/autos/10633280-toyota-prius
Changan,Uni-V,30000.0,AZN,2023,1.5 L,30000,Bakı,https://turbo.az/autos/10636265-changan-uni-v
Renault,Megane,6800.0,AZN,2008,1.5 L,550000,Bakı,https://turbo.az/autos/10636266-renault-megane
BMW,X5,79000.0,AZN,2021,2.0 L,56000,Bakı,https://turbo.az/autos/10377062-bmw-x5
Toyota,Camry,38900.0,AZN,2018,2.5 L,150000,Bakı,https://turbo.az/autos/10604159-toyota-camry
